Language,Rank,Adjective,Frequency
English,1,poor,10
English,2,little,6
English,3,ready,2
English,4,confused,2
English,5,hungry,2
French,1,seul,3
French,2,remarqua,3
French,3,petit,3
French,4,indigné,2
French,5,haut,2
Spanish,1,pobre,9
Spanish,2,pequeño,3
Spanish,3,asustado,3
Spanish,4,nuevo,3
Spanish,5,interesado,3
Italian,1,povero,6
Italian,2,nuovo,4
Italian,3,sentì,4
Italian,4,tutto,2
Italian,5,meravigliato,2
Finnish,1,valkoinen,2
Finnish,2,valmis,1
Finnish,3,pelästyneenä,1
Finnish,4,iloinen,1
Finnish,5,pikku,1
